energy100,energy110,energy111,energy012,energy112,area100,area110,area111,area012,area112
1,1.149324624,0.957507349,1.121104447,1.048858244,0.258993641,0.010536468,0.488235508,0.050967859,0.191266524
1,0.96668885,1.041073689,0.940390539,1.062766639,0.019966393,0.12151604,0.092013707,0.766498096,5.76E-06
1,0.947002269,0.921281206,0.957345963,0.960588909,0.039517942,0.185341984,0.210307201,0.364897808,0.199935066
1,0.943842069,0.965041099,0.957050866,1.028442265,0.037755496,0.252756475,0.199399511,0.505016663,0.005071855
1,0.97722369,1.101068788,1.055873299,1.052008359,0.205017818,0.501709515,0.005162527,0.034695469,0.253414671
1,0.938910668,0.801736772,1.007188937,0.939376161,0.089921895,0.093461104,0.651801707,0.034643897,0.130171396
1,0.866889302,0.829536294,0.950129595,0.920394784,0.034364357,0.356760494,0.338876862,0.130469812,0.139528475
1,0.96078061,1.051834589,0.962984335,1.006734198,0.044184845,0.226790273,0.006643007,0.486765861,0.235616014
1,1.345237143,1.156082777,1.286159575,1.192086903,0.551493516,0.00454971,0.212826613,0.00683973,0.224290432
1,0.9894705,1.156589009,0.956789978,1.094501067,0.034929195,0.115484069,0.000461212,0.80581605,0.043309475
1,0.896879727,1.06454558,1.005645446,1.018220465,0.116515405,0.771206219,0.004535513,0.040713527,0.067029336
1,0.914156122,0.8755845,0.95896615,0.920374995,0.042630784,0.234906883,0.2343911,0.154037966,0.334033267
1,1.137232276,1.023158988,1.117239968,1.029649628,0.222197784,0.026529808,0.107837319,0.019251659,0.62418343
1,1.238871421,1.16088525,1.21511272,1.185235225,0.50258145,0.077692923,0.171562461,0.03918062,0.208982545
1,1.02993149,0.870826163,1.034331325,0.952762735,0.106072792,0.033401012,0.456443678,0.02583848,0.378244038
1,1.094482358,1.294272557,1.097642535,1.258654433,0.295436506,0.363910113,0.010377479,0.327254476,0.003021425
1,1.05431911,0.953839024,1.097450031,1.06436093,0.269967931,0.166096348,0.457680475,0.042606476,0.06364877
1,1.016516786,1.101343765,1.019056056,1.090555798,0.130338234,0.258696288,0.059544497,0.443872697,0.107548284
1,0.993545281,0.962049166,0.971280198,1.041398992,0.055067526,0.088481364,0.26594884,0.589863878,0.000638392
1,0.974448629,1.039003984,0.987501835,1.037978658,0.078229939,0.284237116,0.077852513,0.426848493,0.132831938
1,1.336622053,1.279102623,1.278045359,1.28992078,0.694336884,0.023683726,0.131295998,0.05236174,0.098321652
1,1.089379483,0.988729101,1.058757646,1.02481265,0.186957203,0.04476872,0.223323326,0.188326796,0.356623955
1,0.913120636,0.956908645,1.015159937,1.018436401,0.136261259,0.60010064,0.158456291,0.040739673,0.064442137
1,1.131035351,1.231094001,1.087071315,1.208137348,0.268382553,0.068570432,0.047047114,0.56149897,0.054500932
1,1.038092651,0.869765546,1.074572258,0.987732121,0.162100949,0.039048365,0.605516612,0.008969544,0.18436453
1,1.193229707,1.403102886,1.185363284,1.331862089,0.532272337,0.285547012,0.001592256,0.127306006,0.053282389
1,1.184837235,1.35845632,1.167440227,1.297614179,0.480585978,0.218786193,0.005720733,0.21389036,0.081016736
1,1.046618045,1.085447879,1.019114391,1.042776779,0.132735047,0.086254425,0.010025589,0.423539023,0.347445916
1,0.906474867,1.004371839,1.020354542,0.974348116,0.123190532,0.557758082,0.022411842,0.000333396,0.296306147
1,1.011793323,0.926793713,0.97878359,0.999171611,0.067219323,0.039401343,0.334471178,0.48924893,0.069659227
1,1.024745545,0.991536719,1.047100996,1.092432938,0.197477116,0.215423092,0.322083703,0.256686409,0.008329681
1,1.070989502,0.965914283,1.021349406,1.057700578,0.140211465,0.009277086,0.364647394,0.464623404,0.021240652
1,0.924075935,1.039826116,0.914562869,1.010821442,0.004064836,0.226235988,0.025783803,0.677887094,0.066028279
1,1.347840748,1.415435734,1.285872733,1.338886416,0.748382691,0.021442411,0.000344828,0.063679212,0.166150858
1,1.027716195,1.018425359,1.027279948,0.979479946,0.125396517,0.09621251,0.010512952,0.129331207,0.638546814
1,1.030790139,1.130146278,1.095418901,1.074386914,0.268600033,0.376567162,0.00198304,0.010962002,0.341887762
1,1.227973622,1.436385705,1.217673542,1.373875541,0.625314245,0.281504801,0.006895317,0.047810152,0.038475485
1,1.049197627,1.116678431,1.07140471,1.168781498,0.243894263,0.337341669,0.137311042,0.276645404,0.004807621
1,1.020133052,1.004279225,1.00242648,1.073013701,0.102287807,0.114048858,0.240071133,0.537239878,0.006352324
1,0.912018657,0.804063338,0.895597099,0.857619271,1.62E-05,0.046747168,0.333104659,0.274292887,0.345839077
1,0.918161534,0.975470785,0.951476338,1.01088018,0.03188855,0.384842821,0.126022717,0.415077469,0.042168444
